Unnamed: 0,review_text,proportion_of_emotional_content_in_review,proportion_of_adjectives_in_review,readability_of_review,analytic_writing_style,ebm_prediction,model_prediction,natural_language_explanation,feature_contributions
0,"""The Hotel Allegro Chicago was an excellent choice for my recent trip. The room was clean, comfortable, and well-appointed. The staff were friendly and accommodating, and went above and beyond to make my stay enjoyable. The location was also great, with easy access to all the city's best attractions. I would highly recommend this hotel to anyone visiting Chicago.""",11.86,11.86,52.245,77.08,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to several linguistic cues. Firstly, the high **proportion of emotional content (11.8600)** contributed **-2.5163** toward 'Deceptive', suggesting the reviewer might be overstating their experience. Similarly, the **proportion of adjectives (11.8600)** added **-0.5077**, indicating possible exaggeration in describing the hotel. The **readability score (52.2450)** significantly pushed the prediction toward 'Deceptive' with a contribution of **-3.0368**, implying the review may be too polished or formulaic. Lastly, the **analytic writing style (77.0800)** contributed **-0.4639**, hinting at a lack of personal, genuine tone. Together, these features suggest the review might not reflect an authentic guest experience.","{'proportion_of_emotional_content_in_review': -2.5163, 'proportion_of_adjectives_in_review': -0.5077, 'readability_of_review': -3.0368, 'analytic_writing_style': -0.4639}"
1,"We needed an extra night in Chicago after a gratus stay at The Penninsula and won a SkyAuction bid for The James @ $203. This is one of the nicest hotels that I've ever stayed in. Bathroom aside, we felt it equalled The Penninsula in comfort and level of service. I echo all of the superlatives previously written and would love to stay here anytime I'm in town.",7.46,2.99,65.47200012,91.43,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to the high proportion of emotional content (7.4600) and adjectives (2.9900), which contributed positively (1.1331 and 0.9857, respectively) toward authenticity. The emotional tone and descriptive language, such as ""one of the nicest hotels"" and ""superlatives previously written,"" align with genuine expressions of satisfaction. While the readability score (65.4720) and analytic writing style (91.4300) slightly pushed the prediction toward 'Deceptive' (–1.2549 and –0.3175, respectively), their impact was outweighed by the stronger evidence from emotional and descriptive elements, confirming the review’s authenticity.","{'proportion_of_emotional_content_in_review': 1.1331, 'proportion_of_adjectives_in_review': 0.9857, 'readability_of_review': -1.2549, 'analytic_writing_style': -0.3175}"
2,"""The Millennium Knickerbocker Hotel Chicago is a top-notch hotel in every way. The room was comfortable, clean, and well-appointed, and the staff were incredibly friendly and helpful. The hotel's restaurant and bar were also excellent, offering delicious food and drinks. I highly recommend this hotel.""",13.33,8.89,45.50875,46.31,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to two key features. First, the **proportion of emotional content (13.33%)** contributed **−2.0467**, suggesting the review may overuse emotional language, a tactic often seen in fake reviews. Second, the **readability score (45.5087)** contributed **−3.1977**, indicating the text is overly simple, which can signal inauthenticity. While the **proportion of adjectives (8.89%)** contributed **+0.4322** (evidence for 'Genuine') and the **analytic writing style (46.3100)** contributed **+1.3725** (also 'Genuine'), these were outweighed by the stronger deceptive signals from emotional content and readability. This balance of features led the model to lean toward 'Deceptive.'","{'proportion_of_emotional_content_in_review': -2.0467, 'proportion_of_adjectives_in_review': 0.4322, 'readability_of_review': -3.1977, 'analytic_writing_style': 1.3725}"
3,"""I had a wonderful stay at the Fairmont Chicago Millennium Park. The hotel is located in a great area, with easy access to many of the city's top sights. The room was clean and comfortable, with a beautiful view of the city. The staff were friendly and went out of their way to make my stay enjoyable.""",12.28,15.79,67.697566,99.0,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to the high readability score of **67.6976**, which contributed **0.8148** toward 'Genuine,' indicating clear and straightforward language typical of authentic reviews. Additionally, the analytic writing style score of **99.0000** further supported genuineness with a contribution of **1.7140**, reflecting a factual and objective tone in the review. While the proportion of emotional content (**12.2800**) and adjectives (**15.7900**) contributed **-2.5585** and **-0.6893** toward 'Deceptive,' respectively, these features were outweighed by the strong evidence from readability and writing style, ultimately leading to a 'Genuine' prediction.","{'proportion_of_emotional_content_in_review': -2.5585, 'proportion_of_adjectives_in_review': -0.6893, 'readability_of_review': 0.8148, 'analytic_writing_style': 1.714}"
4,"""I had an amazing stay at the Hyatt Regency Chicago. The room was spacious and comfortable, and the staff was incredibly friendly and helpful. The location was perfect, right in the heart of the city, and the amenities offered like the fitness center and indoor pool were great. I would definitely recommend this hotel to anyone visiting Chicago.""",13.79,6.9,50.631293,80.59,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to several key features. First, the **proportion of emotional content** (13.7900) contributed negatively (-2.0968), suggesting the review may overuse emotional language, which is often a tactic in fake reviews. Second, the **readability score** (50.6313) had a strong negative contribution (-3.1227), indicating the text might be too simple or formulaic, a common trait in deceptive reviews. Additionally, the **analytic writing style** (80.5900) slightly pushed the prediction toward 'Deceptive' (-0.3986), hinting at a lack of personal, nuanced detail. While the **proportion of adjectives** (6.9000) provided some evidence for 'Genuine' (0.5627), it wasn’t enough to outweigh the other features. Together, these signals led the model to classify the review as likely deceptive.","{'proportion_of_emotional_content_in_review': -2.0968, 'proportion_of_adjectives_in_review': 0.5627, 'readability_of_review': -3.1227, 'analytic_writing_style': -0.3986}"
5,"""I recently stayed at the InterContinental Chicago and it was a great experience. The hotel is located in a perfect spot, close to all the main attractions. The room was spacious and clean, and the staff were friendly and attentive. I would definitely recommend this hotel.""",10.87,15.22,59.066848,72.44,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' based on several key features. First, the **proportion of emotional content (10.8700)** contributed **-1.5432** toward 'Deceptive', suggesting the review may lack genuine emotional depth despite positive language. Second, the **high proportion of adjectives (15.2200)** contributed **-0.8843**, indicating potential exaggeration or over-polishing in describing the hotel. Additionally, the **readability score (59.0668)** contributed **-1.5347**, implying the text may be too simplistic or formulaic for an authentic review. Finally, the **analytic writing style (72.4400)** contributed **-0.4224**, hinting at a detached or overly structured tone rather than a personal, genuine account. Together, these features suggest the review may be crafted to appear positive rather than reflect a real experience.","{'proportion_of_emotional_content_in_review': -1.5432, 'proportion_of_adjectives_in_review': -0.8843, 'readability_of_review': -1.5347, 'analytic_writing_style': -0.4224}"
6,This was a great hotel right in the heart of the Chicago Loop. Within walking distance to the downtown attractions. Parking is expensive ($50 p/nt) so we parked at a free remote location (recreation drive) since we weren't planning on driving once we checked in. The staff was friendly and helpful. The rooms are large and clean.,10.34,12.07,78.70200348,86.97,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to the high **readability score of 78.7020**, which strongly contributed **+4.7639** toward 'Genuine,' indicating the review is clear and easy to understand, a trait often associated with authentic reviews. While the **proportion of emotional content (10.3400)** and **adjectives (12.0700)** both contributed negatively (**-0.6407** and **-0.6467**, respectively), suggesting potential evidence for 'Deceptive,' their impact was outweighed by the readability score. Additionally, the **analytic writing style score of 86.9700** had a minor negative contribution of **-0.3332** toward 'Deceptive,' but its effect was negligible. Overall, the review’s straightforward language and clarity aligned with genuine feedback, tipping the prediction in favor of 'Genuine.'","{'proportion_of_emotional_content_in_review': -0.6407, 'proportion_of_adjectives_in_review': -0.6467, 'readability_of_review': 4.7639, 'analytic_writing_style': -0.3332}"
7,"We just returned from a girls shopping /sight-seeing trip.The Palmer House was like home away from home.The hotel is undergoing renovations but we did not notice any inconveniences or hear any noise from the work.The lobby was breathtaking, all dressed up for Christmas.The staff from check-in to housekeeping was very welcoming and friendly.Our room was updated with two beds and two separate baths which was great for everyone to have their own personal space.I would not hesitate to recommend this hotel to anyone.Chicago is a great town.",7.45,5.32,47.62200165,77.99,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to two key features. The **readability score of 47.6220** contributed **-3.1790** toward 'Deceptive,' suggesting the text is unusually easy to read, which can indicate a crafted or insincere review. Additionally, the **analytic writing style score of 77.9900** contributed **-0.4634** toward 'Deceptive,' implying the review lacks personal or emotional depth despite its positive tone. While the **proportion of emotional content (7.4500)** and **adjectives (5.3200)** provided evidence for 'Genuine' with contributions of **1.1331** and **0.4629** respectively, the strong negative pull from readability and writing style tipped the prediction toward 'Deceptive.'","{'proportion_of_emotional_content_in_review': 1.1331, 'proportion_of_adjectives_in_review': 0.4629, 'readability_of_review': -3.179, 'analytic_writing_style': -0.4634}"
8,"I loved this hotel - reasonable for downtown Chicago, an older hotel with a great reno (a bit over-the-top design, but still very lovely and charming), clean rooms, and very friendly staff. They're also amazingly pet-friendly - they welcomed our 130lb Mastiff cross with a gift bag (treats and directions to an off-leash area), and even had a cute blackboard with visiting dog's names on it.",12.5,12.5,42.63299942,66.51,Deceptive,Deceptive,"The model flagged this review as 'Deceptive' primarily due to several linguistic cues. Firstly, the review's emotional tone, with a **12.5000** proportion of emotional content, contributed **-2.5676** to the deceptive prediction, suggesting an overly enthusiastic sentiment. Similarly, the high number of adjectives (**12.5000**) used in the review, like ""great,"" ""lovely,"" and ""amazingly,"" added **-0.5294** to the deceptive score, indicating potential exaggeration. The review's readability score of **42.6330** also played a role, contributing **-2.8126**, which might imply a more simplistic writing style than expected for genuine feedback. Lastly, the analytic writing style feature, with a value of **66.5100**, slightly pushed the prediction towards deceptive with a **-0.4065** contribution, possibly due to the structured and detailed nature of the review, which could be a tactic to appear more credible. These features, when analyzed together, led the model to question the authenticity of the review.","{'proportion_of_emotional_content_in_review': -2.5676, 'proportion_of_adjectives_in_review': -0.5294, 'readability_of_review': -2.8126, 'analytic_writing_style': -0.4065}"
9,"My boyfriend and I were amazed by the breathtaking view of Lake Michigan! We are from Texas so the view of the city was very important to us. We had no problems at this hotel... rooms, service, location were top notch.",7.32,7.32,75.79199982,48.44,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to several key features. First, the **proportion of emotional content** (7.3200) contributed **1.1651** toward 'Genuine,' indicating the reviewer’s genuine amazement at the view of Lake Michigan. Second, the **proportion of adjectives** (7.3200) added **0.3642** to the 'Genuine' prediction, reflecting the descriptive praise for the hotel’s rooms, service, and location. Additionally, the **readability score** (75.7920) strongly supported 'Genuine' with a contribution of **4.6325**, suggesting the review is clear and easy to understand, typical of authentic feedback. Lastly, the **analytic writing style** (48.4400) contributed **1.3593** toward 'Genuine,' as the review balances personal experience with objective observations about the hotel’s quality. Together, these features align with the authenticity of the review.","{'proportion_of_emotional_content_in_review': 1.1651, 'proportion_of_adjectives_in_review': 0.3642, 'readability_of_review': 4.6325, 'analytic_writing_style': 1.3593}"
10,"Stayed here on business a few nights and really liked it. Very attractive, classy and comfortable hotel that's got an element of sexy and sharp. Public spaces are very nice, with an open area bar in the front lobby and nice sitting areas. Rooms are lovely as well, with handsome fixtures and furniture, a terrific desk work space and comfortable bed. Bathroom amenities and fixtures are sleek and attractive as well. Best of all, the hotel has breathtaking views of the city and the water - both the river and the lake. If you're working in the area, it's the best choice for that part of town, and I prefer it to the nearby Hyatt and Monaco.",12.07,15.52,69.44799805,74.78,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily due to several key features. First, the **proportion of emotional content** (12.0700) contributed significantly toward 'Deceptive' with a score of -2.5304, suggesting the review may overuse emotional language to sway opinions. Similarly, the **proportion of adjectives** (15.5200) added evidence for 'Deceptive' with a score of -0.8924, indicating an excessive use of descriptive words like ""attractive,"" ""classy,"" and ""breathtaking,"" which could be seen as over-embellished. Additionally, the **analytic writing style** (74.7800) slightly pushed the prediction toward 'Deceptive' with a score of -0.4315, hinting at a more calculated or formulaic approach. While the **readability score** (69.4480) provided evidence for 'Genuine' with a positive contribution of 1.6151, suggesting the review is easy to understand, it wasn’t enough to outweigh the other deceptive signals. Together, these features led the model to classify the review as likely deceptive.","{'proportion_of_emotional_content_in_review': -2.5304, 'proportion_of_adjectives_in_review': -0.8924, 'readability_of_review': 1.6151, 'analytic_writing_style': -0.4315}"
11,"""I recently stayed at the InterContinental Chicago for a romantic getaway and it was truly memorable. The hotel is beautifully designed and decorated, the service was impeccable, and the room was spacious and comfortable. I would definitely recommend this hotel to anyone looking for a special vacation.""",12.77,6.38,27.133333,55.01,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to several key features. Despite the **proportion of emotional content** being relatively high at **12.7700**, its contribution score was **negative (-2.0154)**, suggesting it leaned toward 'Deceptive'. However, this was outweighed by the **proportion of adjectives** at **6.3800**, which contributed **positively (0.5340)** toward 'Genuine', aligning with the review's descriptive language like ""beautifully designed"" and ""impeccable service"". Additionally, the **readability score** of **27.1333** contributed **0.4393** toward 'Genuine', reflecting the review's clear and coherent structure. Finally, the **analytic writing style** score of **55.0100** added **0.2462** toward 'Genuine', indicating a balanced and thoughtful tone, consistent with the review's detailed and sincere feedback. Together, these features tipped the prediction in favor of 'Genuine'.","{'proportion_of_emotional_content_in_review': -2.0154, 'proportion_of_adjectives_in_review': 0.534, 'readability_of_review': 0.4393, 'analytic_writing_style': 0.2462}"
