Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,review_text,proportion_of_emotional_content_in_review,proportion_of_adjectives_in_review,readability_of_review,analytic_writing_style,label,ebm_prediction,mis_classified,model_pred_confidence,stage,review_set
30,,30,553,"We loved the hotel. When I see other posts about it being shabby I can't for the life of me figure out what they are talking about. Rooms were large with TWO bathrooms, lobby was fabulous, pool was large with two hot tubs and huge gym, staff was courteous. For us, the location was great--across the street from Grant Park with a great view of Buckingham Fountain and close to all the museums and theatres. I'm sure others would rather be north of the river closer to the Magnificent Mile but we enjoyed the quieter and more scenic location. Got it for $105 on Hotwire. What a bargain for such a nice hotel.",7.02,13.16,77.64199829,80.4,Genuine,Genuine,False,0.9947474110797596,2,2
262,,262,494,"The Conrad Hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was so clean, aesthetically pleasing, up to date, just gorgeous! I would definitely stay there again. I loved it. The location is superb too, attached to Nordstrom and Northbridge mall. Can't wait to go back!",13.64,15.15,77.10299683,14.87,Genuine,Genuine,False,0.9965844836789578,2,2
220,,220,129,"""I was so impressed with my stay at the Fairmont Chicago Millennium Park. The hotel is in a great location, close to many of the city's top sights. The room was clean, comfortable and well-appointed. The staff were friendly and went out of their way to make my stay enjoyable.""",12.0,18.0,74.458456,94.04,Deceptive,Genuine,True,0.9572371658793234,2,2
229,,229,70,"""I had a great stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",8.33,8.33,66.637985,94.18,Deceptive,Genuine,True,0.8729854630786049,2,2
115,,115,203,"""My husband and I had a wonderful time at the InterContinental Chicago. The hotel is beautiful, with a great view of the city. The room was comfortable and clean, and the staff were very friendly and accommodating. We would definitely come back to this hotel.""",13.33,13.33,60.05625,71.95,Deceptive,Deceptive,False,0.9669409726908104,2,2
55,,55,697,"We have stayed at several high end places in Chicago and this is still our favorite. Location is superb, staff are particularly gracious and welcoming without being cloying. Cornell, at the front desk, is unfailingly helpful as is the concierge. We love the extra room that a suite provides and if you join the frequent guest program, high speed internet is gratis, as is a breakfast beverage delivered along with the newspaper each morning at the time of your choosing. Bedding is of excellent quality and they offer truly amazing blackout curtains! We have never had a bad stay at this hotel.",9.8,8.82,57.68899918,58.5,Genuine,Deceptive,True,0.7710844337664366,2,2
274,,274,174,"""I had a great experience at the Homewood Suites by Hilton Chicago Downtown. The room was comfortable and well-appointed, and the staff was incredibly friendly and helpful. The location was also great, with easy access to all the best sights and sounds of the city. I would recommend this hotel to anyone visiting Chicago.""",11.11,9.26,57.51875,79.79,Deceptive,Deceptive,False,0.9450333319583444,2,2
259,,259,430,"We have stayed here several times and have always found it to be clean with comfortable beds. We were given a choice of breakfast or free cocktails which we thought was a nice touch. Our room was small but adequate. Location was great, close to the L trains and also close to the train station as we always ""walk"" from Union Station.",8.06,12.9,81.96900177,36.92,Genuine,Genuine,False,0.9975717909706986,2,2
9,,9,359,"""The Sofitel Chicago Water Tower is an exceptional hotel with a great location. The staff were very friendly and helpful, the room was beautiful, clean and well-appointed, and the bed was extremely comfortable. The hotel's location is also perfect, close to many of the city's best restaurants and shops. I had a great stay and I would definitely recommend this hotel to others.""",15.87,15.87,53.12,61.53,Deceptive,Deceptive,False,0.9751865154916146,2,2
256,,256,438,"The Allegro in downtown Chicago is a great stay/ part of the Kimpton Group boutique hotels the Allegro offers a classy stay in a beautiful room for a moterate price/ they offer complimentary and decent wine gratis in the late afternoon and the hotel allows you access to everything the loop has to offer in this remarkable city. i would recommend parking outside of the downtown area and taking the 'EL' into the loop which leaves you about 2 minutes from the hotel/ otherwise you are looking at hefty parking fees for a car you dont need in this part of the city . the rooms are small but beautifully done with great colors,comfortable beds and in my case great views. if you go to kimpton group website and sign up for specials you will be alerted to great rates on certain days / kimpton does a great job and their properties are ""class acts""",7.14,7.14,46.35699844,93.32,Genuine,Deceptive,True,0.5701564646784651,2,2
304,,304,527,I stayed here August 20 through 23rd with my sixteen year old son and we thoroughly enjoyed this hotel. The price was very reasonable for a hotel located right on Michigan Avenue. The front desk and concierge service was excellent and enhanced our stay by making it easy for us to plan fun activities. The John Entwistle theme on our floor was a nice touch. Any of you single fathers out there can appreciate how difficult it can be to take a fun affordable vacation with your children and The Hard Rock Hotel in Chicago really helped me accomplish just that!,9.9,9.9,58.1629982,69.32,Genuine,Deceptive,True,0.77932823913753,2,2
22,,22,163,"""I had an amazing stay at the Homewood Suites by Hilton Chicago Downtown. The room was spacious and comfortable, and the staff was incredibly friendly and helpful. The location was also great, with easy access to all the best sights and sounds of the city. I would definitely stay here again.""",9.8,7.84,66.164338,69.58,Deceptive,Genuine,True,0.5585157855425888,2,2
