review_id,review_text,emo,adj,read,analytic,ebm_prediction,model_prediction,explanation,contributions,generator_model
29,"Have stayed at this hotel on several occasions and have never failed to be anything but delighted. Great Bar (draught Stella and Guinness) which was being upgraded at the end of March when I was last there, good food, lovely staff, large clean rooms, comfortable beds, spot on location for the Golden Mile, Joey's Pizzas next door are fantastic. Ignore any bad reviews you read about this hotel as the authors must either have been very unlucky or impossible to please. Highly recommended",10.84,14.46,57.60499954,41.85,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because several features strongly indicated insincerity. The **proportion of emotional content (10.8400)** contributed the most, with a score of **-1.3398**, suggesting the review might be overly effusive or insincere, as seen in phrases like ""never failed to be anything but delighted"" and ""Highly recommended."" Additionally, the **proportion of adjectives (14.4600)** scored **-0.6608**, pointing to potential exaggeration, evident in terms like ""great,"" ""good,"" ""lovely,"" and ""fantastic."" The **readability score (57.6050)**, with a contribution of **-2.0557**, indicates the review is unusually easy to read, which could signal a crafted or insincere tone. While the **analytic writing style (41.8500)** provided a slight positive contribution of **0.5753** toward 'Genuine,' the features favoring 'Deceptive' outweighed this, leading to the overall prediction.","{""proportion_of_emotional_content_in_review"": -1.3398, ""proportion_of_adjectives_in_review"": -0.6608, ""readability_of_review"": -2.0557, ""analytic_writing_style"": 0.5753}",command-a-03-2025
30,"""I had an amazing stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",8.33,6.25,63.184923,94.18,Genuine,Genuine,"The model predicted this review as 'Genuine' despite mixed evidence from the features. The high proportion of emotional content (8.3300) strongly supported 'Genuine' with a contribution of 0.9781, reflecting the reviewer’s enthusiastic tone. The proportion of adjectives (6.2500) also leaned toward 'Genuine' with a contribution of 0.4853, aligning with the descriptive language used in the review. However, the readability score (63.1849) provided evidence for 'Deceptive' with a contribution of -1.3813, suggesting the text was overly simple, while the analytic writing style (94.1800) slightly favored 'Deceptive' with a contribution of -0.0836. On balance, the features leaned toward 'Deceptive' (total contribution -0.0015), but the model still predicted 'Genuine,' likely influenced by the stronger emotional and descriptive elements in the review.","{""proportion_of_emotional_content_in_review"": 0.9781, ""proportion_of_adjectives_in_review"": 0.4853, ""readability_of_review"": -1.3813, ""analytic_writing_style"": -0.0836}",command-a-03-2025
31,"""I recently stayed at the Millennium Knickerbocker Hotel Chicago for a romantic getaway and it was truly memorable. The hotel is beautifully designed and decorated, the service was impeccable, and the room was spacious and comfortable. I would definitely recommend this hotel to anyone looking for a special vacation.""",12.24,6.12,26.236259,56.86,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because the high proportion of emotional content (12.2400) strongly pushed the prediction toward 'Deceptive' with a contribution of -1.6831. Additionally, the readability score (26.2363) further supported 'Deceptive' with a contribution of -0.6784, suggesting the text may be overly polished or formulaic. While the proportion of adjectives (6.1200) provided mild evidence for 'Genuine' (contribution 0.4903) and the analytic writing style (56.8600) slightly favored 'Genuine' (contribution 0.0200), the features supporting 'Deceptive' outweighed these, leading to the final prediction. The emotional tone and readability were the most influential factors in this decision.","{""proportion_of_emotional_content_in_review"": -1.6831, ""proportion_of_adjectives_in_review"": 0.4903, ""readability_of_review"": -0.6784, ""analytic_writing_style"": 0.02}",command-a-03-2025
32,"My wife and I stayed at the Ambassador East Hotel for the first 3 days of our honeymoon in mid-October. We decided to split our honeymoon up and stay in two different hotels so that we could experience different aspects and areas of Chicago in a week. I'll start out by saying that this was a great experience. At check-in, I indicated that we were on our honeymoon and were upgraded to a suite. The Ambassador East is probably a 10 to 15 minute walk from the North end of the Magnificent Mile. It is also just a 2 or 3 minute walk to a lot of great restaurants and bars on Rush. Our room itself was incredibly spacious and well appointed. Our suite (on the 3rd floor) had two very large closets, a large ""living room"" and a large bedroom. The bed was incredibly comfortable and the bathroom was nice enough. If I would have payed full price for this suite, I probably would have given it a rating of 4, but because the staff was so kind and because my wife and I had such a great time here, I decided to give it a five. It is also worth mentioning that the concierge was very helpful. My wife and I decided to eat at The Pump Room restaurant, but we were not very impressed. We found the food and service mediocre. The atmosphere was probably pretty neat when Sinatra used to eat there back in the day, but not anymore. Although we were unimpressed by the Pump Room, the staff were kind enough to seat us in the ""Sinatra Booth"" which was back in a corner and enclosed by curtains. That neat experience was really the only redeeming value of our meal here. The Ambassador East is an older hotel, but it is in a charming older neighborhood. The staff's kindness and overall charm of the hotel itself really impressed my wife and me. When we are in Chicago again, we will definitely consider staying at the Ambassador East again.",5.83,8.75,66.4960022,49.82,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily due to the high proportion of emotional content (5.8300), which significantly contributed (+1.4128) to the prediction, reflecting the reviewer's personal experiences and sentiments, such as their honeymoon and appreciation for the staff's kindness. The proportion of adjectives (8.7500) also supported genuineness (+0.2071), as the detailed descriptions of the suite and neighborhood align with authentic, thoughtful feedback. While the readability score (66.4960) slightly favored deception (-0.0978), the analytic writing style (49.8200) reinforced genuineness (+0.4375), suggesting a balanced, structured narrative typical of honest reviews. Overall, the features favoring 'Genuine' outweighed the minor evidence for 'Deceptive,' with emotional content being the most influential factor.","{""proportion_of_emotional_content_in_review"": 1.4128, ""proportion_of_adjectives_in_review"": 0.2071, ""readability_of_review"": -0.0978, ""analytic_writing_style"": 0.4375}",command-a-03-2025
33,"The Conrad Chicago was a great choice for my business trip. The room was comfortable and quiet, and the staff were professional and friendly. The location was also perfect for my meetings. I would definitely stay here again.",10.53,13.16,65.839868,29.44,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because the proportion of emotional content (10.5300) contributed the most (-1.0545) toward this classification, suggesting the review may lack genuine sentiment. Additionally, the high proportion of adjectives (13.1600) further supported 'Deceptive' with a contribution of -0.6022, indicating potential exaggeration. The readability score (65.8399) also leaned toward 'Deceptive' with a contribution of -0.4979, implying the review might be overly polished. While the analytic writing style (29.4400) provided evidence for 'Genuine' with a contribution of 0.5154, the features favoring 'Deceptive' outweighed this, leading to the final prediction.","{""proportion_of_emotional_content_in_review"": -1.0545, ""proportion_of_adjectives_in_review"": -0.6022, ""readability_of_review"": -0.4979, ""analytic_writing_style"": 0.5154}",command-a-03-2025
34,"The Conrad Chicago exceeded all of my expectations. From the moment I walked into the hotel, I was impressed with the stylish and modern decor. The room was spotless, and the amenities were top-notch. The bed was so comfortable that I didn't want to get out of it! The staff were extremely friendly and helpful, and always went above and beyond to make my stay as enjoyable as possible. I would highly recommend this hotel to anyone visiting Chicago.",7.59,7.59,61.114167,65.25,Genuine,Genuine,"The model predicted this review as 'Genuine' despite mixed evidence from the features. The **proportion of emotional content** (7.5900) strongly supported 'Genuine' with a contribution of 1.1401, reflecting the reviewer’s enthusiasm about the hotel’s decor, comfort, and staff. The **proportion of adjectives** (7.5900) also leaned toward 'Genuine' with a contribution of 0.3191, aligning with the descriptive language used in the review. However, the **readability score** (61.1142) provided evidence for 'Deceptive' with a contribution of -1.5317, suggesting the text was overly simple, and the **analytic writing style** (65.2500) further pushed toward 'Deceptive' with a contribution of -0.3568, indicating a structured tone. On balance, the evidence from these features leaned slightly toward 'Deceptive' (-0.4292), but the model’s final prediction was still 'Genuine'.","{""proportion_of_emotional_content_in_review"": 1.1401, ""proportion_of_adjectives_in_review"": 0.3191, ""readability_of_review"": -1.5317, ""analytic_writing_style"": -0.3568}",command-a-03-2025
35,"I vacationed at the Fairmont Chicago for 3 nights in July 2009. The room, the bathroom, the view, and the staff were all wonderful. I just wish the hotel were a few blocks North (on MI Ave). Sometimes, when you're tired, that extra couple of blocks seem like miles!",6.12,8.16,85.86000061,94.11,Genuine,Genuine,"The model predicted this review as 'Genuine' primarily because the features favoring authenticity outweighed those suggesting deception. The **readability_of_review** score of 85.86 contributed the most (+4.2391), indicating the review is clear and easy to understand, a hallmark of genuine reviews. The **proportion_of_emotional_content_in_review** score of 6.12 added strong evidence (+1.2990) for genuineness, reflecting the reviewer’s sincere appreciation for the hotel. The **proportion_of_adjectives_in_review** score of 8.16 also supported genuineness (+0.2543), as the descriptive language felt natural. While the **analytic_writing_style** score of 94.11 slightly pushed toward 'Deceptive' (-0.1162), its minimal impact was overshadowed by the other features, confirming the overall prediction of 'Genuine'.","{""proportion_of_emotional_content_in_review"": 1.299, ""proportion_of_adjectives_in_review"": 0.2543, ""readability_of_review"": 4.2391, ""analytic_writing_style"": -0.1162}",command-a-03-2025
36,"""The Hotel Allegro Chicago exceeded all of my expectations. The staff were friendly and welcoming, the room was spacious and well-appointed, and the hotel's location was ideal for experiencing all the city has to offer. I would definitely stay here again.""",4.88,4.88,47.596429,62.96,Genuine,Genuine,"The model predicted this review as 'Genuine' despite mixed evidence from the features, which on balance leaned toward 'Deceptive' with a combined contribution of -0.6664. The review's high **proportion of emotional content (4.8800)** strongly supported 'Genuine' with a contribution of **1.7817**, reflecting the reviewer's enthusiasm and personal experience. Similarly, the **proportion of adjectives (4.8800)** provided additional evidence for 'Genuine' with a contribution of **0.5346**, aligning with the descriptive language used in the review. However, the **readability score (47.5964)** contributed **-2.6317** toward 'Deceptive', suggesting the text might be overly polished, while the **analytic writing style (62.9600)** added **-0.3510**, further leaning toward 'Deceptive'. Despite these conflicting signals, the model ultimately classified the review as 'Genuine'.","{""proportion_of_emotional_content_in_review"": 1.7817, ""proportion_of_adjectives_in_review"": 0.5346, ""readability_of_review"": -2.6317, ""analytic_writing_style"": -0.351}",command-a-03-2025
37,"Stayed at the Monaco for a romantic weekend getaway and it was simply fantastic. Very convenient for walking to museums, shopping and park nearby. The room has a great box window that you can sit in and enjoy the view. We also requested a goldfish which was a pleasant surprise and added to the charm and uniqueness of the hotel. Helpful staff, wifi, Aveda products, decent restaurant downstairs for brunch, easy to get a taxi and nothing beats the location. I would definitely recommend staying at this hotel, for business or pleasure.",9.78,7.61,58.8730011,84.34,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because the readability score of 58.8730 contributed significantly with a score of -1.7293, indicating it pushed the prediction toward 'Deceptive'. Additionally, the analytic writing style score of 84.3400 further supported this with a contribution of -0.3140, also favoring 'Deceptive'. While the high emotional content (9.7800) and proportion of adjectives (7.6100) provided evidence for 'Genuine' with contributions of 0.1863 and 0.3161 respectively, the features favoring 'Deceptive' outweighed these, with readability being the most influential factor. This suggests the review may be overly polished or structured in a way that aligns with deceptive patterns.","{""proportion_of_emotional_content_in_review"": 0.1863, ""proportion_of_adjectives_in_review"": 0.3161, ""readability_of_review"": -1.7293, ""analytic_writing_style"": -0.314}",command-a-03-2025
38,"I stayed at the hotel one night. The hotel is excellent, comparable quality than Marriott and Sheraton, perhaps superior, but the location is definitely much better. Whatever your trip purpose is, business or leisure, you can drop your bags and take a walk on the Magnificent mile. Loved it!",10.2,12.24,58.02600098,44.56,Deceptive,Deceptive,"The model predicted this review as 'Deceptive' primarily because the features favoring deception outweighed those pointing toward genuineness. The **proportion of emotional content (10.2000)** contributed the most with a score of **-0.9877**, suggesting the review may be overly effusive without substantive detail, like the broad claim of being ""perhaps superior"" to Marriott and Sheraton. The **high proportion of adjectives (12.2400)**, with a contribution of **-0.5441**, further indicates potential exaggeration, as seen in phrases like ""excellent"" and ""definitely much better."" Additionally, the **readability score (58.0260)** contributed **-1.9641**, implying the review might be too polished or formulaic, while the **analytic writing style (44.5600)** provided a weaker counterargument for genuineness with a contribution of **0.5657**. Together, these features explain why the model leaned toward 'Deceptive'.","{""proportion_of_emotional_content_in_review"": -0.9877, ""proportion_of_adjectives_in_review"": -0.5441, ""readability_of_review"": -1.9641, ""analytic_writing_style"": 0.5657}",command-a-03-2025
