Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,review_text,proportion_of_emotional_content_in_review,proportion_of_adjectives_in_review,readability_of_review,analytic_writing_style,label,ebm_prediction,mis_classified,model_pred_confidence,stage,review_set
163,,163,418,"Have stayed at this hotel on several occasions and have never failed to be anything but delighted. Great Bar (draught Stella and Guinness) which was being upgraded at the end of March when I was last there, good food, lovely staff, large clean rooms, comfortable beds, spot on location for the Golden Mile, Joey's Pizzas next door are fantastic. Ignore any bad reviews you read about this hotel as the authors must either have been very unlucky or impossible to please. Highly recommended",10.84,14.46,57.60499954,41.85,Genuine,Deceptive,True,0.9306206123199396,2,1
29,,29,64,"""I had an amazing stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",8.33,6.25,63.184923,94.18,Deceptive,Genuine,True,0.707481723378164,2,1
154,,154,244,"""I recently stayed at the Millennium Knickerbocker Hotel Chicago for a romantic getaway and it was truly memorable. The hotel is beautifully designed and decorated, the service was impeccable, and the room was spacious and comfortable. I would definitely recommend this hotel to anyone looking for a special vacation.""",12.24,6.12,26.236259,56.86,Deceptive,Deceptive,False,0.7244088569701133,2,1
221,,221,460,"My wife and I stayed at the Ambassador East Hotel for the first 3 days of our honeymoon in mid-October. We decided to split our honeymoon up and stay in two different hotels so that we could experience different aspects and areas of Chicago in a week. I'll start out by saying that this was a great experience. At check-in, I indicated that we were on our honeymoon and were upgraded to a suite. The Ambassador East is probably a 10 to 15 minute walk from the North end of the Magnificent Mile. It is also just a 2 or 3 minute walk to a lot of great restaurants and bars on Rush. Our room itself was incredibly spacious and well appointed. Our suite (on the 3rd floor) had two very large closets, a large ""living room"" and a large bedroom. The bed was incredibly comfortable and the bathroom was nice enough. If I would have payed full price for this suite, I probably would have given it a rating of 4, but because the staff was so kind and because my wife and I had such a great time here, I decided to give it a five. It is also worth mentioning that the concierge was very helpful. My wife and I decided to eat at The Pump Room restaurant, but we were not very impressed. We found the food and service mediocre. The atmosphere was probably pretty neat when Sinatra used to eat there back in the day, but not anymore. Although we were unimpressed by the Pump Room, the staff were kind enough to seat us in the ""Sinatra Booth"" which was back in a corner and enclosed by curtains. That neat experience was really the only redeeming value of our meal here. The Ambassador East is an older hotel, but it is in a charming older neighborhood. The staff's kindness and overall charm of the hotel itself really impressed my wife and me. When we are in Chicago again, we will definitely consider staying at the Ambassador East again.",5.83,8.75,66.4960022,49.82,Genuine,Genuine,False,0.9450256865481688,2,1
278,,278,118,"The Conrad Chicago was a great choice for my business trip. The room was comfortable and quiet, and the staff were professional and friendly. The location was also perfect for my meetings. I would definitely stay here again.",10.53,13.16,65.839868,29.44,Deceptive,Deceptive,False,0.6801551215507342,2,1
267,,267,103,"The Conrad Chicago exceeded all of my expectations. From the moment I walked into the hotel, I was impressed with the stylish and modern decor. The room was spotless, and the amenities were top-notch. The bed was so comfortable that I didn't want to get out of it! The staff were extremely friendly and helpful, and always went above and beyond to make my stay as enjoyable as possible. I would highly recommend this hotel to anyone visiting Chicago.",7.59,7.59,61.114167,65.25,Deceptive,Genuine,True,0.6119396383756484,2,1
287,,287,503,"I vacationed at the Fairmont Chicago for 3 nights in July 2009. The room, the bathroom, the view, and the staff were all wonderful. I just wish the hotel were a few blocks North (on MI Ave). Sometimes, when you're tired, that extra couple of blocks seem like miles!",6.12,8.16,85.86000061,94.11,Genuine,Genuine,False,0.9985874177564608,2,1
82,,82,46,"""The Hotel Allegro Chicago exceeded all of my expectations. The staff were friendly and welcoming, the room was spacious and well-appointed, and the hotel's location was ideal for experiencing all the city has to offer. I would definitely stay here again.""",4.88,4.88,47.596429,62.96,Deceptive,Genuine,True,0.554349926938355,2,1
102,,102,662,"Stayed at the Monaco for a romantic weekend getaway and it was simply fantastic. Very convenient for walking to museums, shopping and park nearby. The room has a great box window that you can sit in and enjoy the view. We also requested a goldfish which was a pleasant surprise and added to the charm and uniqueness of the hotel. Helpful staff, wifi, Aveda products, decent restaurant downstairs for brunch, easy to get a taxi and nothing beats the location. I would definitely recommend staying at this hotel, for business or pleasure.",9.78,7.61,58.8730011,84.34,Genuine,Deceptive,True,0.6584028673319113,2,1
151,,151,612,"I stayed at the hotel one night. The hotel is excellent, comparable quality than Marriott and Sheraton, perhaps superior, but the location is definitely much better. Whatever your trip purpose is, business or leisure, you can drop your bags and take a walk on the Magnificent mile. Loved it!",10.2,12.24,58.02600098,44.56,Genuine,Deceptive,True,0.885499642841231,2,1
79,,79,40,"""I recently stayed at the Hotel Allegro Chicago and was extremely impressed by the high level of service and comfort provided. The staff were friendly and attentive, the room was clean and well-appointed, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",11.54,11.54,46.839182,74.95,Deceptive,Deceptive,False,0.9772781691583716,2,1
71,,71,750,"Stayed at the Sofitel Chicago Water Tower for 3 nights in early April 2007. Very convenient location just a block from all of the shopping on the Golden Mile. Good restaurant at the hotel serving a la carte breakfast different from the usual fare and with a nice French twist. Dinner at the restaurant was also good. Prices are reasonable. Room is comfortable, only problem was with a card access door lock that usually required several swipes before opening. Excellent service from the bellmen to the concierge and front desk staff. Would definitely stay here again if visiting Chicago. Concierge recommended a small van tour, which was excellent. However early April is too early to visit Chicago as popular activities such as the boat tour of the architecture of Chicago was not operating yet.",5.22,11.19,54.9980011,93.07,Genuine,Genuine,False,0.582689298599022,2,1
